;;;;;;;
;Ragione sociale;Indirizzo;Telefono;Email;Abbonamento;Invia Attestato;"azienda 
ente"
;A.L. CLIMATIZZAZIONE DI AGNELLILUCA & C. SAS;Via Milano, 3 - Bovezzo - 25073;;business@afabi.it;Az clienti;;
;A.M.S. - ATTREZZATURE MECCANICHE SPECIALI S.P.A.;VIA PISANA N. 65-67 - BARBERINO TAVARNELLE - 50028;;amministrazione@amsspa.com;Az clienti;;
;A.N.S. DI NICALINI FILIPPO & C. SAS;Via Madonna, 435 - BOVOLONE - 37051;457102890;ansautofiatdue@tiscali.it;Az clienti;;
;A.S.D AREAZIONE;VIA A. DIAZ N 122 - SAN ZENO NAVIGLIO - 25010;347 9758202;info@areazione.world;Az clienti;;
;A.S.D. GREENFIELD;Via Prognetta - Pescantina - 37026;3922977084;francesca.manfredi@yahoo.it;Az clienti;;
;A.S.D. SPORT TEAM MARTINENGO;via de Gasperi - Martinengo - 24057;;dario20@libero.it;Az clienti;;
;A.T.E.F.I. SRL;Via Carlo Cammeo, 45 - Loc. Navacchio - CASCINA - 56021;050/775251;info@atefi.it;Az clienti;;
;AAA AZIENDA DI PROVA;CORSO VERCELLI 387;112622309;info@ameagroup.com;Az clienti;;
;AARTEEDISTRIBUZIONE ITALIA SRL;VIA MAESTRI DEL LAVORO 19-21 - RIETI - 02100;;MASSIMILIANO.MASTROIACO@AARTEEGROUP.COM;Az clienti;;
;ABACO INTERNATIONAL SRL;Via dell'Economia, 11 - Castelfranco Veneto - 31033;;amm@abacointernational.it;Az clienti;;
;ABBADINI DOTT PASQUALINO;Toscana 23 - Alba Adriatica - 64011;3939054659;pasqualinoabbadini@gmail.com;Az clienti;;
;ABBADINI PASQUALINO;Via Toscana 23 - ALBA ADRIATICA - 64011;;pasqualinoabbadini@gmail.com;Az clienti;;
;ABBAZIA DI MONTE ULIVETO MAGGIORE SRL SOC. AGR.;Loc. Monte Oliveto maggiore 1 - Asciano - 53041;;info@agricolamonteoliveto.com;Az clienti;;
;ABENI F.LLI DI ETTORE ABENI & C. SNC;VIA SAN FILASTRO, 28 - PROVAGLIO D'ISEO - 25050;;costruzioniedili@immobiliabeni.it;Az clienti;;
;ABI ASSOCIAZIONE BRESCIANA INSTALLATORI;VIA P. GUZZETTI, 15 - BRESCIA - 25135;;amministrazione@abiweb.it;Az clienti;;
;ABI SERVIZI SRL;Via Vittorio Emanuele II n22;302510145;business@afabi.it;ENTI AUTORIZZATI 1500;;
;ABI SERVIZI SRL;VIA ROMA 84 - COLLEBEATO - 25060;;;Az clienti;;
;ABIMPIANTI;via caduti del lavoro - Orzinuovi - 25034;;Paolo.Pozzi@gruppoab.it;;;
;ABREG SRL UNIPERSONALE;STRADA STATALE, 11 - VIMODRONE - 20090;;katerina.miksova@abreg.com;Az clienti;;
;AC SAFETY - TEST;via - REGGIO EMILIA - 25100;;michele.cafaro@acsafety.it;Az clienti;;
;AC SAFETY SRL;VIA CHINNICI 3;;info@acsafety.it;CONSULENTI 800;;
;ACCADEMIA ERACLITEA;Viale della Liberta n. 106 - CATANIA - 95129;;giuliana.messina@eraclitea.it;ENTI AUTORIZZATI 1500;;
;ACI PORTO MANTOVANO 1986 SRL;Via Leopardi 29 - PORTO MANTOVANO - 46047;;linda@aciportomantovano.it;Az clienti;;
;ACI SERVICE PARMA SRL;B.go della Salnitrara, 3/a - PARMA - 43121;;segreteria@aciparma.it;Az clienti;;
;ACQUA SPA;Strada Carignano 58/8 - Moncalieri - 10024;;;Az clienti;;
;ACQUARELLI SIMONE;via Ponti di Cortona, 2 - CORTONA - 52044;;pontidicortona@consorziagrariditalia.it;Az clienti;;
;ACQUARIA SRL;Via del Garda, 46/H - ROVERETO - 38068;;L.FATTURINI@hylaitalia.it;Az clienti;;
;ACQUATHERM SRL;Via Seradello, 55 - Sarezzo - 25068;;business@afabi.it;Az clienti;;
;ACQUE BRESCIANE S.R.L;VIA CEFALONIA 70 - BRESCIA - 25124;030/7714273;acquistiegare@acquebresciane.it;Az clienti;;
;ACSE DI SCALVINI CLAUDIO;Via Garibaldi, 65 - Calcinato - 25011;;scalvini.claudio@pec.it;Az clienti;;
;ACSI BRESCIA;VIA GIUSEPPE MAZZINI, 36/A - LUMEZZANE - 25065;;brescia@acsi.it;Az clienti;;
;AD SERVIZI S.R.L.;Via Lungolago Guglielmo Marconi n. 14 - Marone - 25054;;adservizi22@gmail.com;Az clienti;;
;ADA ANALISI DATI AMBIENTALI SRL;via Industria 7 - Castel San Giovanni - 29015;523349667;andrea@adasrl.eu;;;
;ADAM SRL;VIA DELLA VOLTA 183 - BRESCIA - 25124;303532818;amministrazione@adam-italia.it;Az clienti;;
;ADECCO TEST;- -;xxxx;xxxx@xxxx.xx;Az clienti;;
;ADENCO SRL;VIA DELL'ARTIGIANATO 14 - PADENGHE SUL GARDA -;;c.avanzi@adenco.it;Az clienti;;
;ADIGE PANE SRL;VIA PESENTI, 12 - VILLA LAGARINA - 38060;3487908710;gelminiwolit@gmail.com;Az clienti;;
;ADIUVA SRL;Via Goffredo Mameli, 20 - MILANO - 20129;;segreteria.mn@unicollegessml.it;Az clienti;;
;ADLER EVO SRL;Via Cuneo, 27 - Pianfei - 12080;;;Az clienti;;
;ADVINSER S.R.L.;via Martiri della Liberta', 1 - Asciano - 53041;;andrea.tommasi@advinser.it;Az clienti;;
;AFFINI SERVICE SRL;Via Parma 5 - Mantova - 46100;;amministrazione@affini.it;Az clienti;;
;AGATA MALTESE NOTAIO;Viale Giacomo Matteotti 8 - Grosseto - 58100;3337801244;agata.maltese@notariato.it;Az clienti;;
;AGENZIA DI TUTELA DELLA SALUTE DELLA VAL PADANA - ATS;Via dei Toscani 1 - MANTOVA - 46100;;formazione@ats-valpadana.it;Az clienti;;
;AGENZIA FORMATIVA MASONI CONSULTING SRL;Via Salvador Allende, 35 - Santa Croce Sull'Arno - 56029;571360096;formazione@masoniconsulting.it;Az clienti;;
;AGILEX SERVICES SRL;Via E. Estrafallaces, 2/4 - Lecce - 73100;0832.303904;damiana.mezzina@adecco.it;Az clienti;;
;AGILEX SRL;Via E. Estrafallaces, 2/4 - Lecce - 73100;0832.303904;damiana.mezzina@adecco.it;Az clienti;;
;AGORA' SOCIETA' COOPERATIVA SOCIALE ONLUS;Via Rossi 16 - RIVAROLO MANTOVANO - 46017;;sicurezza@cooperativa-agora.it;Az clienti;;
;AGRI.SA.MAR. S.A.S.DI SALZANI NICOLA & C MACCHINE AGRICOLE;Via del Lavoro, 9 - Valgatara fraz. Marano di Valpolicella - 37020;045 7701340;agrisamar@agrisamar.it;Az clienti;;
;AGRITURISMO BEL DI BERTUSSI;Via Mascontina - Raffa di Puegnago del Garda - 25080;;;Az clienti;;
;AGRITURISMO CASCINA BOZZETTI;Loc. Miassola 7 - PARETO - 15010;;cascinabozzetti@gmail.com;Az clienti;;
;AGRIVERDE SNC;VIA VOLTA 8 - FUCECCHIO - 50054;;p.lastrucci@hotmail.com;Az clienti;;
;AI DUE FUSTI S.N.C. DI WILLEY ALEC E WILLEY JULIAN;Via Duca degli Abruzzi 2N/4R - Genova - 16167;;j.ulianwilley@libero.it;Az clienti;;
;AI STUDIO ARCHITETTURA INGEGNERIA URBANISTICA;Corso Francesco Ferrucci 112 - Torino - 10138;;bliuni@aigroup.it;Az clienti;;
;AICO SPA;i.bertoni@ravelligroup.it - PALAZZOLO S/O - 25036;307402939;i.bertoni@ravelligroup.it;Az clienti;;
;AIPND - ASS. ITALIANA PROVE NON DISTRUTTIVE;VIA A FORESTI, 5 - BRESCIA - 25127;;segreteria@aipnd.it;Az clienti;;
;AIR GAMMA DI LUSUARDI LORENZO;Argine Vecchio 176/B - San Benedetto Po - 46027;;info.airgamma@gmail.com;Az clienti;;
;AIR LIQUIDE MEDICAL SYSTEMS SRL;VIA DEI PRATI 62 - BRESCIA - 25073;;;Az clienti;;
;AIRUM SRL;Via Maestri del Lavoro 18 - Bologna - 40138;516012316;INFO@AIRUM.COM;Az clienti;;
;AIRUM SRL;Via Maestri del Lavoro 18 - Bologna - 40138;;INFO@AIRUM.COM;Az clienti;;
;AISAM;Viale Veneto, 29/A - MANTOVA - 46100;;segreteria@aisam.it;Az clienti;;
;AKKA ITALIA S.R.L.;Corso Enrico Tazzoli 215/12/B - TORINO - 10137;;IT.AKKA-ITALIA.Formazione@akka.eu;Az clienti;;
;AL CANTON DI PERROTTA ANNA;PIAZZA GIOVANNI PAOLO I 40 - VITTORIO VENET - 31029;;chiara.savaris45@gmail.com;Az clienti;;
;AL.MA SNC;Via Emilio Lapido, 249/B - Parma - 43100;3332546075;crazyalle@yahoo.com;Az clienti;;
;ALA SRL;Via Tosco Romagnola Est, 249 - San Miniato Basso - 56028;0571/417102;amministrazione@alasrl10.it;Az clienti;;
;ALBA COSMETICS ITALY S.P.A;Viale Industria n 69 - - Bottanuco (BG) - 24040;;;Az clienti;;
;ALBERGO CENTRALE DI NASAZZI LORENZO;Via Solferino 11 - Esino Lario - 23825;3393188683;73lorenzo@gmail.com;Az clienti;;
;ALBIS INTERNATIONAL SRL;Strada Statale 102, Frazione Curavecchia - Roasio - 13060;163811200;;Az clienti;;
;ALE GESTIONI SAS DI SANTONI ALESSANDRO & C;VIA MANZONI, 7 - ROVERETO - 38068;;alessandrosantoni835@gmail.com;Az clienti;;
;ALESSANDRO GIACOMIN;Negrar di Valpolicella - Negrar di Valpolicella - 37024;;giacomin-alessandro@postecert.it;Az clienti;;
;ALESSANDRO MORETTI;Strada Cason della Guardia 47 - Imperia - 18100;3388461599;ing.alessandro.moretti@gmail.com;Az clienti;;
;ALESSANDRO MORETTI;Strada Cason della Guardia 47 - IMPERIA - 18100;;ing.alessandro.moretti@gmail.com;Az clienti;;
;ALESSIO FRATESI;Passaggio fratello Benelli 12 - PESARO URBINO - 61121;;dr.alessiofratesi@gmail.com;Az clienti;;
;ALGOL SRL;VIA MONTENAPOLEONE 8 - MILANO - 20121;;alfianello@algolsrl.it;Az clienti;;
;ALIA S.R.L.;Via Provinciale, 46/B - ADRO - 25030;;business@afabi.it;Az clienti;;
;ALKA DI ALESSANDRA CAVALLI;Piazza Caduti di Superga 15 - Parma - 43124;;info@alkaparma.it;Az clienti;;
;ALL AROUND (THE) KITCHEN S.R.L.S. C76J18000160008;VIA RIALTO, 44 - ROVERETO - 38068;;Micaela.Sposito@gmail.com;Az clienti;;
;ALL TYRES SERVICE S.R.L.;via E. Fermi, 8 - BOLZANO - 39100;;amm@pneusmarket.it;Az clienti;;
;ALL42 SRL;Via Vittorio Emanuele II 28 - Roncadelle - 25030;;business@afabi.it;Az clienti;;
;ALLA TRIPOLITANIA SAS DI REGINATO WALTER VINICIO & C.;Via Mire di Sotto, 38 - REFRONTOLO - 31020;;walter.reginato@gmail.com;Az clienti;;
;ALLOVISIO MORENA;VIA MADONNA DEL POZZO, N. 67/B - OFFANENGO - 26010;3897828594;morena.allovisio@virgilio.it;Az clienti;;
;ALMA OFFICINE MECCANICHE S.R.L.;Via Canossi, 14 - BRESCIA - 25126;;luisa.lamicela@almaofficinemeccaniche.it;Az clienti;;
;ALMA SRL;Strada Olza 17 - PIUBEGA - 46040;;info@almacarni.it;Az clienti;;
;ALPACA SRL;VIA NUOVA FRANCESCA, 21/H - SANTA CROCE SULL'ARNO - 56029;0571-703129;info@conceria-alpaca.it;Az clienti;;
;ALPICELLA COOPERATIVA SOCIALE;via Cadorna 24 - La Spezia - 19121;0187-25571;alpicellacoop@gmail.com;;;
