;BOTTEGA DEL LEGNO DI CATTAFESTA M. E F. SNC;Vicolo dell'Inganno, 12/A - Brescia - 25122;;formazione@afabi.it;Az clienti;;
;BOTTIDRAULICA SRL;Via Papa Paolo VI, 11 - Monticelli Brusati - 25040;;bottidraulicasrl@legalmail.it;Az clienti;;
;BRESCIA CONTROLLI SRL;VIA GARIBALDI, 10 - ISOLA DELLA SCALA - 37063;;gianpiero.monetti@agenziamonetti.it;Az clienti;;
;BRESCIA PROGETTI SRL;VIA CORSICA 182 - BRESCIA - 25125;302422459;INFO@BRESCIAPROGETTI.IT;Az clienti;;
;BRESCIANA COSTRUZIONI SRL;Vicolo Chiesa 15 - Ospitaletto - 25035;;leonardtarushi89@gmail.com;Az clienti;;
;BRIXIAEDIL ENGINEERING S.R.L.;VIA BETTOLE, 13 - BRESCIA - 25134;;brixiaedilsrl@legalmail.it;Az clienti;;
;BUIZZA IMPIANTI S.R.L.;VIA Vittime del Lavoro, 13;;info@buizzaimpianti.it;Az clienti;;
;BUSSI GIUSEPPE E FIGLI SNC;Via Marconi, 32 - Bedizzole - 25081;;;Az clienti;;
;C.A.G. PRESSO PARROCCHIA CONVERSIONE DI S. PAOLO;VIA BORGHINI 1 - COLLEBEATO - 25060;;montagnini.maura@live.it;Az clienti;;
;C.A.T.I. SRL;Via Ugoletti, 10 - Brescia - 25134;;formazione@afabi.it;Az clienti;;
;C.M.M. S.R.L.;Via B. Castelli, 10 - Montirone - 25010;;business@afabi.it;Az clienti;;
;CANTINE BOZZA SRL;VIA FASSATI, 9 - PASSIRANO - 25050;;;Az clienti;;
;CARROZZERIA TRENTO DI MOLINARI FEDERICO & C. SAS;Via Monte Novegno 21 - BRESCIA - 25128;;business@afabi.it;Az clienti;;
;"CASA DI RIPOSO ""COMINI"" COOPERATIVA SOCIALE - ONLUS";Via S. Francesco D'Assisi, 9 - Collebeato - 25060;;casadiriposocominionlus@pec.it;Az clienti;;
;CASTRINI IMPIANTI SRL;Via Campagna Sopra, 2F;;info@castrinimpianti.it;Az clienti;;
;CENTRO DI SERVIZI PER ANZIANI CASA DI RIPOSO MAGGI ONLUS;Via G. Marconi, n. 20 - Castrezzato - 25030;;info@casadiriposomaggi.it;Az clienti;;
;CENTRO EDILE FRANCIACORTA SRL;VIA ADRO 74 - CAPRIOLO - 25031;;;Az clienti;;
;CENTRO VALLONCINI GIORDANO & C. S.A.S.;Via Nervi 40 - Passirano - 25050;;business@afabi.it;Az clienti;;
;CEPEZ S.R.L.;VIA FORO BOARIO, 36 - BRESCIA - 25124;;info@cepezsrl.it;Az clienti;;
;CLIMA IMPIANTI SRL DI ZARANTONELLO;Via Giorgio Amendola, 21 - SIRMIONE - 25019;;business@afabi.it;Az clienti;;
;CLIMAGEST SRL;Via R. Gessi, 16 - Brescia - 25135;;;Az clienti;;
;CLIMASERVIZI SRL;Via Scuole, 13 - Azzano Mella - 25020;309747759;business@afabi.it;Az clienti;;
;CLIMAT SRL;VIA LABIRINTO 153 - BRESCIA - 25125;;;Az clienti;;
;CO.RIM. EDIL S.R.L.;Vicolo Giuseppe Verdi, 9 - Cologno Al Serio - 24055;;business@afabi.it;Az clienti;;
;COGENERA SRL;Via Le Ghiselle, 12 - Castenedolo - 25014;;business@afabi.it;Az clienti;;
;COMETAL ENGINEERING SPA;Via Mario Calderara, 10/12 - Montichiari -;;amministrazione@cometaleng.com;Az clienti;;
;COMUNE DI COLLEBEATO;Via San Francesco d'Assisi 1 - Collebeato - 25060;;business@afabi.it;Az clienti;;
;CONNECTIROL S.R.L.;VIA PRAGA, 5 - TRENTO - 38121;;segreteria@connectirol.it;Az clienti;;
;COSTRUTTORI LOMBARDI SRL;VIA SOLFERINO, 31 - BRESCIA - 25121;;;Az clienti;;
;CRESSARI VANDA;VIA ZANARDELLI, 13/A - CONCESIO - 25062;;cressari@studiocressari.it;Az clienti;;
;D'ANIELLO SAVINO;Via Umberto I, 26 - SALO' - 25087;;daniellosavino@legalmail.it;Az clienti;;
;D.D.L. IMPIANTI ELETTRICI DI LIGI DANIELE;SALITA COSTA DEI RATTI 11 - GENOVA - 16144;;;Az clienti;;
;DE.KA. COSTRUZIONI SRL;Via A. Luzzago 5 - Brescia - 25126;;business@afabi.it;Az clienti;;
;DEIANA ANTONELLO;Via Pola, 2 - Desenzano del Garda - 25015;;business@afabi.it;Az clienti;;
;DETTAGLI DI STILE DI IRENE BONFADELLI;VIALE VENEZIA 46 - Brescia - 25124;;business@afabi.it;Az clienti;;
;DIMENSIONE UOMO SNC DI FIBRENI OSVALDO & C.;Via Vivanti, 5 - Brescia - 25133;;;Az clienti;;
;DM SNC DI MANTUANO MARCO E C.;Via Roncadelle 7/8 - CASTEL MELLA - 25030;;dm.mantuano@legalmail.it;Az clienti;;
;DOLCE ACQUA DEPURAZIONE DI CIOCCA TIZIANA COSTANTINA;Via Chiari, 48 - Cologne - 25033;;dolceacquadepurazione@gmail.com;Az clienti;;
;DONELLI IMPIANTI SRL;VIA CAMILLO GOLGI 37/39 - GUSSAGO - 25064;;business@afabi.it;Az clienti;;
;DR. NICOLA HAURANIEH;Piazza Vantini 23 - Rezzato - 25086;;business@afabi.it;Az clienti;;
;DUEBI S.R.L.;Via Enrico Fermi, 2 - MANERBIO - 25025;;duebisrl88@gmail.com;Az clienti;;
;E.B. AUTOMATION SRL;VIA ZUBLINO 8 - SAN FELICE DEL BENACO - 25010;;business@afabi.it;Az clienti;;
;E.B. ELETTROTECNICA BRESCIANA SRL;VIA DELLE CASELLE 39 - BRESCIA - 25125;;pec.ebsrl@legalmail.it;Az clienti;;
;E.G. SYSTEM DI FANTONI U. & C. S.N.C.;Via Maddalena, 144 - Nave - 25075;;egsystem@legalmail.it;Az clienti;;
;ECONNET SRL;Via Misa, 40C/D/EF - Bologna - 40139;;business@afabi.it;Az clienti;;
;ED.IN.TEC. SRL;VIALE SAN GIMIGNANO 11 - MILANO - 20146;;;Az clienti;;
;EDIL THOMAS DI FILIPPINI GIOVANNIBATTISTA;Via Livelli 21 - Nuvolera -;;edilthomas.bs@gmail.com;Az clienti;;
;EDILMEC SRL;VIA STAZIONE 4/B - REMEDELLO - 25010;;business@afabi.it;Az clienti;;
;EFFE.CI. AIR SERVICE SRL;Via Don Maestrini 41 - FLERO - 25020;306151445;amministrazione@effeciairservice.com;Az clienti;;
;EFFE.CI. SRL;VIA DON MAESTRINI, 41 - FLERO - 25020;306151445;info@effe-cisrl.com;Az clienti;;
;EKW ITALIA S.R.L.;Via del lavoro 21 - Concorezzo - 20863;;n.oliva@ekv.it;Az clienti;;
;ELECTRA SNC DI PINTO SANDRO E PINO E C.;VIA CUPELLO, 9/B - SAN DONATO MILANESE - 20097;;;Az clienti;;
;ELECTROFIBER SRL;Via Vittorio Veneto - Trento - 38122;;electrofiber@legalmail.it;Az clienti;;
;ELEGANCE BEAUTY STUDIO DI HYSA DANJELA;Via dei Prati 27/G - Bovezzo - 25073;;business@afabi.it;Az clienti;;
;ELETTRICA ANTONINI DI ANTONINI ALESSANDRO;VIA DONATORI DI SANGUE 12 - OFFLAGA - 25020;;business@afabi.it;Az clienti;;
;ELETTRICA ARCHETTI SRL.;Via Fornaci, 27/ d - CORTE FRANCA - 25040;;elettricaarchetti@libero.it;Az clienti;;
;ELETTRO & LIFT DI ZITO E & C SAS;VIA L.EINAUDI 26 - BRESCIA - 25121;;;Az clienti;;
;ELETTRO IMPIANTI AYAIDA DI ANGELO AYAIDA;Via Castelgoffredo, 15 - Brescia - 25134;;business@afabi.it;Az clienti;;
;ELETTROIMPIANTI SRLS;via Giuseppe Rossi 25 - Castelbelforte - 46032;;business@afabi.it;Az clienti;;
;ELETTROTECNICA M&M SNC;VIA GUIDO ROSSA 22/N - CELLATICA - 25060;;;Az clienti;;
;ELETTROTECNICA SEBINA S.N.C.;VIA ACHILLE GRANDI 39 - CORTE FRANCA - 25040;;elettrotecnicasebina@legalmail.it;Az clienti;;
;ELETTROTERMICA TREBESCHI S.R.L.;VIA ZANARDELLI, 74 - CONCESIO - 25062;;assistenza@elettrotermicatrebeschi.it;Az clienti;;
;EMMECI DI CARROZZA MICHELE;VIA SETTEMBRINI, 32 - VILLASANTA - 20852;;;Az clienti;;
;ENERCON SRL;Via Fornasina, 60 - Muscoline - 25080;;;Az clienti;;
;EURO-BIO SNC DI GUSSAGO CHIARA E VILLA PATRIZIA;Via A. De Gasperi, 1 - Collebeato - 25060;;business@afabi.it;Az clienti;;
;EUROFLUID IMPIANTI SRL;Via Zocco n. 13L - ADRO - 25030;;pratiche@eurofluidimpianti.com;Az clienti;;
;EUROIMPIANTI GROUP S.R.L.;VIA GUTENBERG 14 - PONCARALE - 25020;;business@afabi.it;Az clienti;;
;EUROVITI S.R.L.;VIA FINILETTO, 20;;business@afabi.it;Az clienti;;
;EVOCABEL SRL;VIA GUIDO ROSSA, 22N - CELLATICA - 25060;;amministrazione@evocable.com;Az clienti;;
;EXE S.R.L;VIA L. NEGRELLI 15 - BOLZANO - 39100;;mma@exesolar.com;Az clienti;;
;F.G. SAS DI FILIPPINI FABIO & C.;Via Garibaldi, 93 - Molinetto di Mazzano - 25080;;formazione@afabi.it;Az clienti;;
;F.LLI FASSOLI SRL;VIA FERRARIS, 20 - GUSSAGO - 25064;;;Az clienti;;
;FACCHINI FRANCESCO SPA;Via I Maggio,1 - CATREZZATO - 25030;;amministrazione@facchini.it;Az clienti;;
;FERRAMENTA ZAMBELLI SNC;Via Belotti - GRUMELLO - 24064;;formazione@afabi.it;Az clienti;;
;FI.MAR DI FIZZARDI MARCO;Via Giuseppe Verdi 3 - Coccaglio - 25030;;business@afabi.it;Az clienti;;
;FIORERIA MUTTI DI MUTTI ERALDO;VIA INDIPENDENZA 50;;business@afabi.it;Az clienti;;
;FM ELETTROTECH S.R.L.;Via Veneto 2/4 - Piubega - 46040;;fmelettrotech@legalmail.it;Az clienti;;
;"FONDAZIONE DI CURA ""CITTA' DI GARDONE VALTROMPIA ONLUS""";VIA PARINI, 14 - GARDONE VAL TROMPIA - 25063;;barbaracontessa1977@gmail.com;Az clienti;;
;FONDAZIONE ONLUS LONGINI - MORELLI - SIRONI DI PRALBOINO;Via Morelli, 10 - Pralboino - 25020;;business@afabi.it;Az clienti;;
;FRIGERIO DANIELE;Via Prima, 30 - Brescia - 25129;;formazione@afabi.it;Az clienti;;
;FRIGOTERM SRL;Via del Canneto, 55 - Borgosatollo - 25010;;;Az clienti;;
;G. AND D. DI GORNO ARMIDA E C. S.A.S.;Via Roma, 45 - Collebeato - 25060;;;Az clienti;;
;G.A. TERMOIDRAULICA DI GIUGNO ANDREA;VIA ERMANNO MARGHERITI 22 - NAVE - 25075;;business@afabi.it;Az clienti;;
;G.L. ELETTRICA INDUSTRIALE SRL;Via Padania, 30/32 - CASTEL MELLA - 25030;;amministrazioneglsrl@libero.it;Az clienti;;
;G.S. SYSTEMS DI SEMINARA GIUSEPPE;Via Patrioti 31/C - Castenedolo - 25014;;g.s.systemsbs@gmail.com;Az clienti;;
;GABETTI LAB S.P.A.;VIA BERNARDO QUARANTA 40 - Milano - 20139;;business@afabi.it;Az clienti;;
;GAUSS AUTOMAZIONE SPA;Via Trento 178 - Capriano del Colle - 25020;309749509;;Az clienti;;
;GENCOS SPA;P.zza Diaz, 5 - Milano - 20123;;business@afabi.it;Az clienti;;
;GENERALCONTROL SPA;VIA PANNUNZIO MARIO, 4 - MILANO - 20156;;;Az clienti;;
;GENESI SNC DI SILVESTRI NADIA & C.;Via Muratello, 11 - Nave - 25075;;formazione@afabi.it;Az clienti;;
;GEOM. EZIO CASALETTI;Via Campagna, 2/1 - CASTREZZATO - 25030;;business@afabi.it;Az clienti;;
;GEOMETRA MARCO SCANSANI;Viale Luigi Pasteur,5 - 24128 Bergamo -;;scansy@inwind.it;Az clienti;;
;GEV DI VEZZOLA GIUSEPPE & C. SAS;Via Santigaro 21 - SAN FELICE DEL BENACO - 25010;;gev.vezzola@gmail.com;Az clienti;;
;GI - TECH SRL;VIA CANOSSI, 8 - TORBOLE CASAGLIA - 25030;303732873;amministrazione@gitechsrl.it;Az clienti;;
;GIUMIA REFRATTARI S.R.L.;Via Ippolito Nievo 18 - Udine - 33100;;business@afabi.it;Az clienti;;
;GML S.R.L.;Via Matris Domini, 21 - Bergamo - 24121;;business@afabi.it;Az clienti;;
;GV SYSTEM SRL;Via E. Montale, 2 - Sal - 25087;;;Az clienti;;
;H.S. AUTOMATION SRL;VIA ARTIGIANI, 17 - CASTREZZATO -;;amministrazione@hsautomation.it;Az clienti;;
;HOXHA EDMOND;VIA ANTONIO LORENZETTI, 15 - Darfo Boario Terme - 25047;;;Az clienti;;
;I.E.M. ELETTRA DI MAGRI ROBERTO E TRIVELLA ANGELO S.N.C.;Strada Gandine, 7 - Ghedi - 25016;;iemelettraimpianti@gmail.com;Az clienti;;
;I.M.I. DI PIANTONI EZIO & C. S.A.S.;VIA LAGORIO 48 - PALAZZOLO SULL'OGLIO - 25036;;ziopiantoni@gmail.com;Az clienti;;
;I.R.I. IMPIANTI SRL;Via F.lli Bonardi, 17 - Brescia - 25126;;info@iriimpianti.it;Az clienti;;
;I.R.I.S. BRIXIA S.R.L.;VIA A. LUZZAGO , 5 - 25126 BRESCIA;307772765;info@irisbrescia.it;Az clienti;;
;I.T. GAS FENOTTI DI MANENTI SERGIO E C. S.N.C.;Via S. Cesario, 62 - NAVE - 25075;;business@afabi.it;Az clienti;;
;I.T.I. DI FRANZONI GIORGIO;Via Cocca Sopra, 25 - Serle - 25080;;formazione@afabi.it;Az clienti;;
;IDEAL STANDARD HOLDINGS SRL;VIA DOMODOSSOLA 19 - MILANO - 20145;;;Az clienti;;
;IDEAL STANDARD INDUSTRIALE SRL;VIA G. BORSI, 9 - MILANO - 20143;;;Az clienti;;
;IDEAL STANDARD ITALIA SRL;VIA GIOSUE' BORSI 9 - MILANO - 20143;;;Az clienti;;
;IDRATERM SRL;Via Golgi, 32 - Gussago - 25064;;business@afabi.it;Az clienti;;
;IDRAULICA BAIGUERA SRL;Via Allegri, 79 - Brescia - 25124;;formazione@afabi.it;Az clienti;;
;IDRAULICA BIANCHETTI DI BIANCHETTI ALBERTO;VILLAGGIO GEROLDI TRAV III 8 - CASTENEDOLO - 25014;;albertobianchetti@hotmail.it;Az clienti;;
;IDRAULICA BOSIO DI BOSIO MANUEL;VIA ALBAROTTO SNC - LENO - 25024;;idraulicabosio@libero.it;Az clienti;;
;IDRAULICA COMAI SNC DI COMAI ERIS E F.LLI;Via Conter, 7 - Calvagese della Riviera - 25080;;formazione@afabi.it;Az clienti;;
;IDRAULICA MATTIAZZI DI MATTIAZZI R. & C. S.N.C.;VIA SS PAULLESE KM 17,300 - SPINO D'ADDA - 26016;;idraulicamattiazzi@legalmail.it;Az clienti;;
;IDRAULICA ZAMBELLI S.R.L.;Via Chiesa n. 28 - CAPRIANO DEL COLLE - 25020;;business@afabi.it;Az clienti;;
;IDRO 2 DI CAPUANO LUIGI;Via Livelli 3 - Montichiari - 25018;;luigi@idro2.it;Az clienti;;
;IDRO INNOVAZIONE SRL;VIA DEL RAME 12/B - TRAVAGLIATO - 25039;;;Az clienti;;
;IDRO-SERVICE DI FERRARI F. SRL;Via Circonvallazione, 31 - Verolanuova - 25028;;business@afabi.it;Az clienti;;
;IDRO-TERMO-SANITARIA DI BRIGNOLI ALDO A. & C. SNC;Via Veneto, 9 - Pontoglio - 25037;;formazione@afabi.it;Az clienti;;
;IDROGENERAL ZAMER SRL;Via Borsellino, 21/23 - Concesio - 25062;;formazione@afabi.it;Az clienti;;
;IDROMAFRA SRL;Via Trebocche Trav. II, 7/F - Bedizzole - 25081;;formazione@afabi.it;Az clienti;;
;IDROSANITARIA DI ANTONINI CLAUDIO;VIA EUROPA, 244 - CONCESIO - 25062;;;Az clienti;;
;IDROSANITARIA F.LLI MINELLI SRL;Via M. Kolbe, 10 - Cazzago San Martino - 25046;;formazione@afabi.it;Az clienti;;
;IDROTECNICA GARBELLI;VIA BRESCIA, 155 - NAVE - 25075;;idrotecnica-garbelli@email.it;Az clienti;;
;IDROTECNICA NODARI S.R.L. DI NODARI & VEZZOLA;VIA PAPA GIOVANNI XXIII 81/B - DESENZANO DEL GARDA - 25015;;business@afabi.it;Az clienti;;
;IDROTERMICA BOLPAGNI SRL;Via Degli Arrotini 23/25 - GHEDI - 25016;;idrotermicabolpagni@pec.intred.it;Az clienti;;
;IDROTERMICA RESTELLI SRL;VIA CANOSSI, 11 - CALVISANO - 25012;;info@idrotermicarestelli.it;Az clienti;;
;IDROTERMICA SNC DI GOFFI G. E TOBANELLI G.;VIA MARCONI 2 - MUSCOLINE - 25080;;idrotermicagt@gmail.com;Az clienti;;
;IMI DI PIANTONI EZIO E C SAS;Via lagorio 48 - PALAZZOLO SULL'OGLIO - 25036;;business@afabi.it;Az clienti;;
;IMPRESA EDILE BAGGIO GEOM. GIOVANNI SRL;VIA DELLE COMETE 48 - ROMANO DI LOMBARDIA - 24058;;giovannibaggio1@virgilio.it;Az clienti;;
;IMPRESA EDILE MAFFEZZONI DI GEOM. ALESSANDRO;Vicolo dellOmbra, 7 - Brescia - 25122;;;Az clienti;;
;IMPRESA EDILE MARENZI GIUSEPPE DI MARENZI MAURIZIO;VIA PONTOGLIO 11 - PALAZZOLO SULL'OGLIO - 25036;;business@afabi.it;Az clienti;;
;IMPRESA EDILE TARUSHI;Via Gorizia 10 - Botticino - 25082;;redilcostruzioni.2000@gmail.com;Az clienti;;
;INNOPHARMA SRL;Via Lavoratori Autobianchi, 1 - Desio - 20832;;;Az clienti;;
;INNVISION SRL;VIA INDUSTRIALE, 18 - CELLATICA -;;amministrazione1@innvision.it;Az clienti;;
;INSTAL GARDA DI TIPONUT ADRIAN EMIL;Via Vincenzo Monti, 11 - Toscolano-Maderno - 25088;;tiponut.adrian@pec.it;Az clienti;;
;ISTITUTO FIGLIE DI SAN CAMILLO;Via di Acqua Bullicante 4 - ROMA - 00177;;cdrsangiuseppe@figliesancamillo.it;Az clienti;;
;ISVA SERVICE SRL;Via G. B. Cacciamali, 69 - Brescia - 25125;;formazione@afabi.it;Az clienti;;
;ITALPRESSEGAUSS S.R.L.;Via Trento, 178 - Capriano del Colle - 25020;;Michela.Zani@noricangroup.com;Az clienti;;
;JIALI SRL;VIA GOISIS 66 - VOBARNO - 25079;;magazzino@zchabbigliamento.it;Az clienti;;
;KEEP SERVICE SRL;Via Zublino 49 - San Felice dei Benaco - 25010;;amministrazione@keepservice.it;Az clienti;;
;KI-NET SRL;Corso Cavour 76 - Zevio - 37059;;amministrativo@ki-net.it;Az clienti;;
;KOMPLETT SOCIETA' COOPERATIVA;Via Aldo Moro, 51 - Arco - 38062;;formazione@afabi.it;Az clienti;;
;KRK ENERGY SERVICE SRL;Via Trieste, 37 - Martinengo - 24057;;business@afabi.it;Az clienti;;
;L'ASPIRATRICE DI GORNI ALESSANDRO & C. SNC;VIA G. GALILEI TRAVERSA II N.32 - SAN ZENO NAVIGLIO - 25200;;business@afabi.it;Az clienti;;
;L'IDRAULICA SAS DI TONELLI L. E CIATTI O.;Via dei Ciliegi, 42 - Gussago - 25064;;business@afabi.it;Az clienti;;
;LA DIMORA ODV;VIA MARSALA 20 - BRESCIA - 25122;;ladimora19@gmail.com;Az clienti;;
;LA EDI S.R.L.;Via Arturo Toscanini, 47/49 - Borgosatollo - 25010;;laedisrl@legalmail.it;Az clienti;;
;LA TERMICA DI FAGGIANO ANTONIO;Via XXV Aprile 7 - CAPRIOLO - 25031;;business@afabi.it;Az clienti;;
;LA TERMOIDRAULICA DI PELIZZARI DIEGO;VIA ALFREDO CATALANI 22 - CASTIGLIONE DELLE STIVIERE - 46043;;pelizzari.diego@aziendapec.it;Az clienti;;
;LABA SRL;VIA DON VENDER 66 - BRESCIA - 25127;30380894;direzione@laba.edu;Az clienti;;
;LAP GROUP SRLS;Via Fienil Sal, 12 - Calcinato - 25011;;formazione@afabi.it;Az clienti;;
;LATTERIE ALTA ITALIA - LAIT - SOC. COOP. AGRICOLA;VIA CROCIFISSA DI ROSA 3 - BRESCIA - 25121;;info@caseificiolait.it;Az clienti;;
;LATTONERIA B E B SRL;Via Invico, 16 - Lodrino - 25060;;;Az clienti;;
;LAVORAZIONI PLASTICHE S.R.L.;Via Ritonda, 77/E - SAN BONIFACIO - 37047;;business@afabi.it;Az clienti;;
;LEONESSA IMPIANTI DI RENICA & C. SAS;VIA MANZONI. 87 - DELLO - 25020;;leonessaimpianti@libero.it;Az clienti;;
;LO DI LARCHER MAURO E LUCA & C SNC;Via Artigiani 20 - CASTREZZATO - 25030;;larcher.snc@virgilio.it;Az clienti;;
;LP SRL;VIA MARTIRI DELLA LIBERTA' 46 - PARATICO - 25030;;;Az clienti;;
;M.C.S. FACCHETTI SRL;Loc. Breda, 3 - Mura - 25070;;formazione@afabi.it;Az clienti;;
;M.M. MONTAGGI SRL;VIA COSTANTINO 4/E - DARFO BOARIO TERME - 25047;;;Az clienti;;
;M.S. IMPIANTI DI MARIO SALVAI;VIA G. BERTUCCIONI 4/1 DX - GENOVA - 16139;;;Az clienti;;
;MAINARDI ADRIANO;VIA G. GALILEI, 18 - REZZATO - 25026;302591111;ditta_mainardi@libero.it;Az clienti;;
;MARZULLI ALESSANDRO;Via Duca D'Aosta, 16 - Brescia - 25121;;;Az clienti;;
;MCT SCAFFALATURE S.R.L.;Via Bergamo, 30 - Mornico Al Serio - 24050;;mctscaffalaturesrl@legalmail.it;Az clienti;;
;MECCANICA CAVAGNOLI DI CAVAGNOLI PIETRO & C. SNC;Via dellArtigianato, 3 25020 Azzano Mella (BS) - Azzano Mella - 25020;;;Az clienti;;
;MECCANICA RAW S.R.L.;Via G. Tovini, 11/13 - Bagnolo Mella - 25021;;amministrazione@meccanicaraw.com;Az clienti;;
;MECHATRONICS AND DYNAMIC DEVICES S.R.L.;Viale Marconi 5 - Dalmine - 24044;;andrea.ginammi@mdquadro.com;Az clienti;;
